freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
Annual,Number,Intentional homicide,Osttirol,2023,0,,
Annual,Number,Intentional homicide,Tiroler Oberland,2019,0,,
Annual,Number,Intentional homicide,Tiroler Oberland,2020,0,,
Annual,Number,Intentional homicide,Tiroler Oberland,2021,2,,
Annual,Number,Intentional homicide,Tiroler Oberland,2022,0,,
Annual,Number,Intentional homicide,Tiroler Oberland,2023,0,,
Annual,Number,Intentional homicide,Tiroler Unterland,2019,2,,
Annual,Number,Intentional homicide,Tiroler Unterland,2020,6,,
Annual,Number,Intentional homicide,Tiroler Unterland,2021,2,,
Annual,Number,Intentional homicide,Tiroler Unterland,2022,5,,
Annual,Number,Intentional homicide,Tiroler Unterland,2023,1,,
Annual,Number,Intentional homicide,Vorarlberg,2019,2,,
Annual,Number,Intentional homicide,Vorarlberg,2020,1,,
Annual,Number,Intentional homicide,Vorarlberg,2021,2,,
Annual,Number,Intentional homicide,Vorarlberg,2022,3,,
Annual,Number,Intentional homicide,Vorarlberg,2023,2,,
Annual,Number,Intentional homicide,Bludenz-Bregenzer Wald,2019,1,,
Annual,Number,Intentional homicide,Bludenz-Bregenzer Wald,2020,1,,
Annual,Number,Intentional homicide,Bludenz-Bregenzer Wald,2021,1,,
Annual,Number,Intentional homicide,Bludenz-Bregenzer Wald,2022,2,,
Annual,Number,Intentional homicide,Bludenz-Bregenzer Wald,2023,1,,
Annual,Number,Intentional homicide,Rheintal-Bodenseegebiet,2019,1,,
Annual,Number,Intentional homicide,Rheintal-Bodenseegebiet,2020,0,,
Annual,Number,Intentional homicide,Rheintal-Bodenseegebiet,2021,1,,
Annual,Number,Intentional homicide,Rheintal-Bodenseegebiet,2022,1,,
Annual,Number,Intentional homicide,Rheintal-Bodenseegebiet,2023,1,,
Annual,Number,Intentional homicide,Extra-Regio NUTS 1,2022,0,,
Annual,Number,Intentional homicide,Extra-Regio NUTS 2,2022,0,,
Annual,Number,Intentional homicide,Extra-Regio NUTS 3,2022,0,,
Annual,Number,Intentional homicide,Bosnia and Herzegovina,2019,37,,
Annual,Number,Intentional homicide,Bosnia and Herzegovina,2020,42,,
Annual,Number,Intentional homicide,Bosnia and Herzegovina,2021,31,,
Annual,Number,Intentional homicide,Bosnia and Herzegovina,2022,34,,
Annual,Number,Intentional homicide,Belgium,2019,147,,
Annual,Number,Intentional homicide,Belgium,2020,149,,
Annual,Number,Intentional homicide,Belgium,2021,157,,
Annual,Number,Intentional homicide,Belgium,2022,185,,
Annual,Number,Intentional homicide,Belgium,2023,162,,
Annual,Number,Intentional homicide,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,21,,
Annual,Number,Intentional homicide,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,26,,
Annual,Number,Intentional homicide,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,21,,
Annual,Number,Intentional homicide,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,30,,
Annual,Number,Intentional homicide,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023,40,,
Annual,Number,Intentional homicide,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,2019,21,,
Annual,Number,Intentional homicide,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,2020,26,,
Annual,Number,Intentional homicide,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,2021,21,,
Annual,Number,Intentional homicide,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,2022,30,,
Annual,Number,Intentional homicide,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,2023,40,,
Annual,Number,Intentional homicide,Vlaams Gewest,2019,59,,
Annual,Number,Intentional homicide,Vlaams Gewest,2020,60,,
Annual,Number,Intentional homicide,Vlaams Gewest,2021,59,,
Annual,Number,Intentional homicide,Vlaams Gewest,2022,81,,
Annual,Number,Intentional homicide,Vlaams Gewest,2023,54,,
Annual,Number,Intentional homicide,Prov. Antwerpen,2019,19,,
Annual,Number,Intentional homicide,Prov. Antwerpen,2020,22,,
Annual,Number,Intentional homicide,Prov. Antwerpen,2021,17,,
Annual,Number,Intentional homicide,Prov. Antwerpen,2022,34,,
Annual,Number,Intentional homicide,Prov. Antwerpen,2023,19,,
Annual,Number,Intentional homicide,Arr. Antwerpen,2019,13,,
Annual,Number,Intentional homicide,Arr. Antwerpen,2020,16,,
Annual,Number,Intentional homicide,Arr. Antwerpen,2021,12,,
Annual,Number,Intentional homicide,Arr. Antwerpen,2022,26,,
Annual,Number,Intentional homicide,Arr. Antwerpen,2023,17,,
Annual,Number,Intentional homicide,Arr. Mechelen,2019,3,,
Annual,Number,Intentional homicide,Arr. Mechelen,2020,2,,
Annual,Number,Intentional homicide,Arr. Mechelen,2021,2,,
Annual,Number,Intentional homicide,Arr. Mechelen,2022,2,,
Annual,Number,Intentional homicide,Arr. Mechelen,2023,2,,
Annual,Number,Intentional homicide,Arr. Turnhout,2019,3,,
Annual,Number,Intentional homicide,Arr. Turnhout,2020,4,,
Annual,Number,Intentional homicide,Arr. Turnhout,2021,3,,
Annual,Number,Intentional homicide,Arr. Turnhout,2022,6,,
Annual,Number,Intentional homicide,Arr. Turnhout,2023,0,,
Annual,Number,Intentional homicide,Prov. Limburg (BE),2019,5,,
Annual,Number,Intentional homicide,Prov. Limburg (BE),2020,5,,
Annual,Number,Intentional homicide,Prov. Limburg (BE),2021,5,,
Annual,Number,Intentional homicide,Prov. Limburg (BE),2022,10,,
Annual,Number,Intentional homicide,Prov. Limburg (BE),2023,5,,
Annual,Number,Intentional homicide,Arr. Tongeren,2019,0,,
Annual,Number,Intentional homicide,Arr. Tongeren,2020,1,,
Annual,Number,Intentional homicide,Arr. Tongeren,2021,3,,
Annual,Number,Intentional homicide,Arr. Tongeren,2022,2,,
Annual,Number,Intentional homicide,Arr. Tongeren,2023,1,,
Annual,Number,Intentional homicide,Arr. Hasselt,2019,4,,
Annual,Number,Intentional homicide,Arr. Hasselt,2020,4,,
Annual,Number,Intentional homicide,Arr. Hasselt,2021,1,,
Annual,Number,Intentional homicide,Arr. Hasselt,2022,3,,
Annual,Number,Intentional homicide,Arr. Hasselt,2023,1,,
Annual,Number,Intentional homicide,Arr. Maaseik,2019,1,,
Annual,Number,Intentional homicide,Arr. Maaseik,2020,0,,
Annual,Number,Intentional homicide,Arr. Maaseik,2021,1,,
Annual,Number,Intentional homicide,Arr. Maaseik,2022,5,,
Annual,Number,Intentional homicide,Arr. Maaseik,2023,3,,
Annual,Number,Intentional homicide,Prov. Oost-Vlaanderen,2019,14,,
Annual,Number,Intentional homicide,Prov. Oost-Vlaanderen,2020,13,,
Annual,Number,Intentional homicide,Prov. Oost-Vlaanderen,2021,17,,
Annual,Number,Intentional homicide,Prov. Oost-Vlaanderen,2022,12,,
Annual,Number,Intentional homicide,Prov. Oost-Vlaanderen,2023,11,,
Annual,Number,Intentional homicide,Arr. Aalst,2019,4,,
Annual,Number,Intentional homicide,Arr. Aalst,2020,5,,
Annual,Number,Intentional homicide,Arr. Aalst,2021,1,,
Annual,Number,Intentional homicide,Arr. Aalst,2022,3,,
Annual,Number,Intentional homicide,Arr. Aalst,2023,3,,
Annual,Number,Intentional homicide,Arr. Dendermonde,2019,0,,
Annual,Number,Intentional homicide,Arr. Dendermonde,2020,2,,
Annual,Number,Intentional homicide,Arr. Dendermonde,2021,1,,
Annual,Number,Intentional homicide,Arr. Dendermonde,2022,3,,
Annual,Number,Intentional homicide,Arr. Dendermonde,2023,1,,
Annual,Number,Intentional homicide,Arr. Eeklo,2019,2,,
Annual,Number,Intentional homicide,Arr. Eeklo,2020,0,,
Annual,Number,Intentional homicide,Arr. Eeklo,2021,1,,
Annual,Number,Intentional homicide,Arr. Eeklo,2022,0,,
Annual,Number,Intentional homicide,Arr. Eeklo,2023,2,,
Annual,Number,Intentional homicide,Arr. Gent,2019,6,,
Annual,Number,Intentional homicide,Arr. Gent,2020,3,,
Annual,Number,Intentional homicide,Arr. Gent,2021,9,,
Annual,Number,Intentional homicide,Arr. Gent,2022,4,,
Annual,Number,Intentional homicide,Arr. Gent,2023,3,,
Annual,Number,Intentional homicide,Arr. Oudenaarde,2019,2,,
Annual,Number,Intentional homicide,Arr. Oudenaarde,2020,1,,
Annual,Number,Intentional homicide,Arr. Oudenaarde,2021,1,,
Annual,Number,Intentional homicide,Arr. Oudenaarde,2022,0,,
Annual,Number,Intentional homicide,Arr. Oudenaarde,2023,1,,
Annual,Number,Intentional homicide,Arr. Sint-Niklaas,2019,0,,
Annual,Number,Intentional homicide,Arr. Sint-Niklaas,2020,2,,
Annual,Number,Intentional homicide,Arr. Sint-Niklaas,2021,4,,
Annual,Number,Intentional homicide,Arr. Sint-Niklaas,2022,2,,
Annual,Number,Intentional homicide,Arr. Sint-Niklaas,2023,1,,
Annual,Number,Intentional homicide,Prov. Vlaams-Brabant,2019,8,,
Annual,Number,Intentional homicide,Prov. Vlaams-Brabant,2020,10,,
Annual,Number,Intentional homicide,Prov. Vlaams-Brabant,2021,13,,
Annual,Number,Intentional homicide,Prov. Vlaams-Brabant,2022,15,,
Annual,Number,Intentional homicide,Prov. Vlaams-Brabant,2023,13,,
Annual,Number,Intentional homicide,Arr. Halle-Vilvoorde,2019,5,,
Annual,Number,Intentional homicide,Arr. Halle-Vilvoorde,2020,8,,
Annual,Number,Intentional homicide,Arr. Halle-Vilvoorde,2021,10,,
Annual,Number,Intentional homicide,Arr. Halle-Vilvoorde,2022,11,,
Annual,Number,Intentional homicide,Arr. Halle-Vilvoorde,2023,9,,
Annual,Number,Intentional homicide,Arr. Leuven,2019,3,,
Annual,Number,Intentional homicide,Arr. Leuven,2020,2,,
Annual,Number,Intentional homicide,Arr. Leuven,2021,3,,
Annual,Number,Intentional homicide,Arr. Leuven,2022,4,,
Annual,Number,Intentional homicide,Arr. Leuven,2023,4,,
Annual,Number,Intentional homicide,Prov. West-Vlaanderen,2019,13,,
Annual,Number,Intentional homicide,Prov. West-Vlaanderen,2020,10,,
Annual,Number,Intentional homicide,Prov. West-Vlaanderen,2021,7,,
Annual,Number,Intentional homicide,Prov. West-Vlaanderen,2022,10,,
